Local time,Open,High,Low,Close,Volume
09.10.2023 00:00:00.000 GMT+0300,1848.255,1863.722,1844.442,1861.722,21105383.962299995
10.10.2023 00:00:00.000 GMT+0300,1862.296,1865.622,1853.225,1860.952,15877880.8862
11.10.2023 00:00:00.000 GMT+0300,1861.492,1877.395,1858.825,1874.652,20194069.9817
12.10.2023 00:00:00.000 GMT+0300,1876.012,1885.495,1868.115,1869.645,18802174.024400003
13.10.2023 00:00:00.000 GMT+0300,1869.295,1933.445,1869.295,1933.382,25138157.129299995
16.10.2023 00:00:00.000 GMT+0300,1929.802,1930.395,1908.385,1920.742,18991639.9865
17.10.2023 00:00:00.000 GMT+0300,1920.752,1931.815,1912.662,1923.502,21849939.8233
18.10.2023 00:00:00.000 GMT+0300,1924.185,1962.865,1923.555,1947.942,20705658.182199996
19.10.2023 00:00:00.000 GMT+0300,1948.162,1977.885,1945.445,1974.952,22549799.859500006
20.10.2023 00:00:00.000 GMT+0300,1975.692,1997.462,1972.225,1981.802,30293310.165299997
23.10.2023 00:00:00.000 GMT+0300,1968.426,1983.015,1964.575,1973.702,20992074.9665
24.10.2023 00:00:00.000 GMT+0300,1973.135,1981.065,1953.802,1971.202,21282209.813699998
25.10.2023 00:00:00.000 GMT+0300,1972.462,1987.525,1963.272,1980.902,21081390.2616
26.10.2023 00:00:00.000 GMT+0300,1980.395,1993.722,1971.965,1985.052,25509070.024100002
27.10.2023 00:00:00.000 GMT+0300,1985.086,2009.705,1977.072,2007.252,24599670.2014
30.10.2023 00:00:00.000 GMT+0300,2004.725,2007.252,1991.135,1996.382,27252669.9305
31.10.2023 00:00:00.000 GMT+0300,1996.905,2008.135,1979.075,1984.052,24504889.965200003
01.11.2023 00:00:00.000 GMT+0300,1984.735,1992.706,1970.135,1982.832,24192640.2748
02.11.2023 00:00:00.000 GMT+0300,1984.485,1991.225,1979.065,1986.032,18141820.132799998
03.11.2023 00:00:00.000 GMT+0300,1986.195,2004.265,1983.495,1993.102,22763078.137999997
06.11.2023 01:00:00.000 GMT+0300,1993.302,1993.305,1977.632,1978.092,17463509.9471
07.11.2023 01:00:00.000 GMT+0300,1979.092,1979.092,1956.945,1969.632,18102354.988499995
08.11.2023 01:00:00.000 GMT+0300,1970.082,1971.305,1947.642,1950.185,19100660.0558
09.11.2023 01:00:00.000 GMT+0300,1950.252,1965.895,1944.826,1958.952,20803070.0983
10.11.2023 01:00:00.000 GMT+0300,1959.452,1960.985,1933.272,1938.802,18372690.170999996
13.11.2023 01:00:00.000 GMT+0300,1940.145,1949.405,1931.892,1946.332,17915890.022900004
14.11.2023 01:00:00.000 GMT+0300,1947.132,1971.182,1938.842,1963.562,20211305.200899996
15.11.2023 01:00:00.000 GMT+0300,1963.866,1975.595,1955.635,1959.602,21910749.852799997
16.11.2023 01:00:00.000 GMT+0300,1960.992,1988.155,1956.685,1981.502,22509059.9359
17.11.2023 01:00:00.000 GMT+0300,1982.105,1993.682,1978.805,1981.102,20919500.0377
20.11.2023 01:00:00.000 GMT+0300,1979.102,1985.415,1965.665,1978.306,23626522.123799995
21.11.2023 01:00:00.000 GMT+0300,1978.702,2007.805,1978.122,1998.752,25634780.079099998
22.11.2023 01:00:00.000 GMT+0300,1999.652,2006.625,1987.135,1990.202,27116629.9583
